,x,y,school_name,number_vce_subjects,satisfactory_complete_vce_percent,median_study_score,study_score_over_40_percent,percentage_applying_to_victorian_uni
183,145.2321,-37.83843,heathmont college,45.0,97.0,24.0,1.1,58.0
184,142.1841,-36.71166,horsham college,42.0,94.0,31.0,5.3,49.0
185,145.01433,-37.82251,melbourne girls college,57.0,100.0,33.0,14.4,92.0
186,146.28598,-38.17668,lowanna college,40.0,90.0,24.0,1.6,39.0
187,145.12231,-37.76743,templestowe college,66.0,98.0,29.0,4.0,53.0
188,144.22755,-37.05044,castlemaine secondary college,48.0,97.0,27.0,2.5,51.0
189,145.92549,-38.1652,warragul regional college,45.0,96.0,25.0,2.3,42.0
190,143.83447,-37.51922,mount rowan secondary college,26.0,96.0,27.0,1.4,61.0
191,143.35963,-36.27031,charlton college,29.0,100.0,31.0,7.1,44.0
192,143.2291,-36.0757,wycheproof p college,24.0,100.0,29.0,6.5,50.0
193,142.90994,-35.98438,birchip p school,22.0,100.0,31.0,2.4,50.0
194,141.65886,-36.3326,nhill college,28.0,93.0,25.0,7.186514522821577,36.0
195,147.06801,-38.10892,sale college,36.0,95.0,26.0,2.7,55.0
196,145.15845,-38.14632,mcclelland secondary college,53.0,97.0,29.0,4.3,28.0
197,144.41157,-38.01818,lara secondary college,30.0,92.0,25.0,2.1,39.0
198,147.91076,-36.19294,corryong college,27.0,100.0,34.0,15.4,50.0
199,143.72287,-37.04216,maryborough education centre,37.0,86.0,26.0,7.186514522821577,45.0
200,145.07568,-37.63494,the lakes south morang college,20.0,76.0,24.0,1.9,41.0
201,144.60185,-37.87351,manor lakes p college,51.0,93.0,23.0,2.8,47.0
202,144.9728,-37.7407,coburg high school,47.0,97.0,29.0,2.7,83.0
203,144.92319,-37.58031,mount ridley p college,49.0,97.0,25.0,2.2,77.0
204,144.68041,-37.83335,tarneit senior college,52.0,97.0,23.0,0.7,64.0
205,144.73242,-36.13239,echuca college,34.0,94.0,24.0,1.2,33.0
206,145.12869,-37.91422,john monash science school,44.0,99.0,35.0,21.5,97.0
207,144.81864,-37.86191,altona college,26.0,100.0,28.0,1.1,61.0
208,145.20901,-37.97942,dandenong high school,60.0,94.0,25.0,1.1,67.0
209,144.77263,-37.85617,laverton p college,23.0,96.0,22.0,0.8,56.0
210,143.5901,-38.3515,colac secondary college,36.0,90.0,25.0,7.186514522821577,42.0
211,145.33656,-38.0385,nossal high school,43.0,100.0,36.0,27.0,100.0
212,144.70075,-37.89385,suzanne cory high school,36.0,99.0,35.0,19.0,99.0
213,145.27656,-37.97461,gleneagles secondary college,58.0,100.0,29.0,4.3,75.0
214,146.72614,-36.54889,myrtleford p college,29.0,100.0,30.0,2.1,44.0
215,145.30872,-38.07313,alkira secondary college,61.0,98.0,29.0,4.7,57.0
